                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2007,                 1.6974,                 1.4278,                0.30609,                0.21766,                0.16242,                0.05737,                 2.6667,                 3.6263,                 2.5552,             0.00066507,             0.00066507,             0.00066507
                      2,                 1.1755,                 1.3714,                 1.4128,                0.45651,                0.29224,                0.30711,                0.13333,                   2.24,                  2.326,                 2.0939,              0.0013054,              0.0013054,              0.0013054
                      3,                 1.1596,                  1.338,                  1.413,                0.57522,                0.40639,                0.42822,                0.19532,                 2.0487,                 1.9437,                 1.9652,              0.0019193,              0.0019193,              0.0019193
                      4,                 1.0704,                 1.1893,                 1.3389,                0.57405,                0.42161,                 0.4582,                0.20342,                 2.0332,                 1.8881,                 1.8862,              0.0018812,              0.0018812,              0.0018812
                      5,                0.98527,                 1.0739,                 1.2891,                0.69952,                0.54795,                0.64749,                0.29014,                 1.9253,                 1.4805,                 1.7822,              0.0018812,              0.0018812,              0.0018812
                      6,                0.93137,                0.99613,                 1.2538,                0.74021,                0.57991,                0.66114,                0.32655,                 1.8335,                 1.4259,                 1.6985,              0.0018416,              0.0018416,              0.0018416
                      7,                0.89466,                0.93914,                 1.2274,                0.74501,                0.60274,                0.70379,                0.33206,                 1.8207,                 1.3424,                 1.7029,               0.001802,               0.001802,               0.001802
                      8,                0.87304,                0.89322,                 1.2137,                0.82429,                0.61408,                0.74038,                0.34766,                 1.8122,                 1.2479,                 1.6561,              0.0017624,              0.0017624,              0.0017624
                      9,                0.83894,                0.83518,                 1.1885,                0.77704,                0.65248,                0.74919,                0.37274,                 1.7396,                 1.2569,                 1.5695,              0.0017228,              0.0017228,              0.0017228
                     10,                0.81465,                0.81013,                 1.1735,                0.79252,                0.65297,                0.73892,                0.37918,                  1.645,                 1.1816,                 1.5312,              0.0016832,              0.0016832,              0.0016832
                     11,                0.78211,                0.76594,                 1.1505,                0.79671,                0.68598,                0.75991,                0.37149,                 1.7479,                 1.1328,                  1.601,              0.0016436,              0.0016436,              0.0016436
                     12,                0.76805,                0.74926,                 1.1477,                0.80447,                0.72146,                0.81113,                0.39188,                  1.699,                 1.0665,                 1.5498,               0.001604,               0.001604,               0.001604
                     13,                0.75174,                0.72589,                  1.135,                0.83697,                0.74734,                0.84242,                0.43404,                 1.5737,                0.99649,                 1.4695,              0.0015644,              0.0015644,              0.0015644
                     14,                0.72706,                0.69737,                 1.1245,                0.83582,                0.75951,                0.83324,                0.41506,                 1.6621,                 1.0082,                 1.5403,              0.0015248,              0.0015248,              0.0015248
                     15,                0.71791,                0.67681,                 1.1181,                0.88369,                 0.7864,                0.88516,                0.43297,                 1.6519,                0.96098,                 1.5027,              0.0014852,              0.0014852,              0.0014852
                     16,                0.69933,                0.65774,                 1.1079,                0.90906,                0.79114,                 0.8836,                0.43816,                 1.6386,                0.92528,                  1.493,              0.0014456,              0.0014456,              0.0014456
                     17,                 0.7036,                 0.6646,                 1.1065,                0.87298,                 0.7741,                0.87974,                0.46562,                 1.5626,                0.87841,                 1.4463,               0.001406,               0.001406,               0.001406
                     18,                0.67787,                0.63749,                 1.1007,                0.87107,                0.81241,                0.88025,                0.43728,                 1.6629,                0.88045,                 1.5028,              0.0013664,              0.0013664,              0.0013664
                     19,                0.67563,                0.63156,                 1.0945,                0.84095,                0.85307,                0.89331,                0.47413,                 1.5321,                0.83447,                  1.439,              0.0013268,              0.0013268,              0.0013268
                     20,                0.67513,                0.62453,                 1.0927,                0.88457,                0.84323,                0.91264,                0.45812,                  1.625,                0.83644,                 1.4785,              0.0012872,              0.0012872,              0.0012872
                     21,                0.66229,                0.60415,                  1.085,                0.91776,                0.83257,                0.91409,                0.51024,                 1.4662,                0.80221,                 1.3858,              0.0012476,              0.0012476,              0.0012476
                     22,                0.65185,                0.59809,                 1.0753,                0.90687,                0.87451,                0.92602,                0.48344,                 1.5932,                0.77923,                 1.4421,               0.001208,               0.001208,               0.001208
                     23,                0.63691,                0.58153,                 1.0733,                0.93105,                0.86606,                 0.9373,                0.52218,                 1.4689,                0.73509,                 1.3828,              0.0011684,              0.0011684,              0.0011684
                     24,                0.63479,                0.58021,                 1.0758,                0.91054,                0.86301,                0.92023,                0.50179,                 1.5085,                0.75786,                  1.422,              0.0011288,              0.0011288,              0.0011288
                     25,                0.62525,                0.56258,                 1.0592,                0.90521,                0.87207,                0.92685,                0.50496,                 1.4928,                0.77264,                 1.3837,              0.0010892,              0.0010892,              0.0010892
                     26,                0.61541,                0.55613,                 1.0592,                0.92657,                0.86427,                0.93981,                0.51451,                 1.4731,                0.76276,                 1.3631,              0.0010496,              0.0010496,              0.0010496
                     27,                0.60945,                0.53738,                 1.0526,                0.94039,                0.86441,                0.94144,                0.52383,                 1.4612,                0.71945,                 1.3759,                0.00101,                0.00101,                0.00101
                     28,                0.60209,                0.52923,                 1.0544,                0.90238,                0.88636,                0.93999,                0.52426,                 1.4422,                0.71688,                  1.362,              0.0009704,              0.0009704,              0.0009704
                     29,                0.59311,                0.52334,                 1.0455,                0.91297,                 0.8942,                0.93623,                0.52715,                 1.4606,                0.68824,                 1.3507,              0.0009308,              0.0009308,              0.0009308
                     30,                0.58503,                0.51248,                 1.0419,                0.95301,                0.89498,                0.94576,                0.54419,                 1.4086,                0.66673,                 1.3396,              0.0008912,              0.0008912,              0.0008912
                     31,                 0.5764,                0.50238,                 1.0362,                0.91125,                0.90639,                0.94316,                0.54304,                 1.4219,                0.67598,                 1.3337,              0.0008516,              0.0008516,              0.0008516
                     32,                0.56397,                0.49244,                 1.0335,                0.92675,                 0.9051,                 0.9443,                0.53994,                 1.4194,                0.66843,                 1.3326,               0.000812,               0.000812,               0.000812
                     33,                0.55589,                0.48244,                 1.0282,                 0.9521,                0.89041,                0.95227,                  0.561,                 1.3641,                0.65626,                 1.3025,              0.0007724,              0.0007724,              0.0007724
                     34,                0.56417,                0.48205,                 1.0258,                0.95138,                0.92326,                0.96286,                0.55605,                 1.3964,                0.61775,                 1.3166,              0.0007328,              0.0007328,              0.0007328
                     35,                0.54926,                0.47559,                 1.0166,                0.95629,                0.90868,                0.95064,                0.55159,                 1.4085,                0.62493,                 1.3205,              0.0006932,              0.0006932,              0.0006932
                     36,                0.55236,                0.47305,                  1.023,                0.94207,                0.93607,                0.96345,                0.56981,                 1.3641,                 0.6039,                 1.3021,              0.0006536,              0.0006536,              0.0006536
                     37,                0.53956,                0.45354,                 1.0157,                 0.9544,                0.91933,                0.95638,                0.55526,                 1.3956,                0.61381,                 1.3244,               0.000614,               0.000614,               0.000614
