                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3817,                  5.222,                 1.4967,                0.62146,                0.37548,                0.40535,                0.16817,                 2.0637,                 3.0428,                 1.3898,             0.00066498,             0.00066498,             0.00066498
                      2,                 2.2712,                 2.4018,                  1.461,                0.43709,                 0.4023,                0.37425,                0.15818,                 2.0688,                  3.032,                 1.3448,              0.0013053,              0.0013053,              0.0013053
                      3,                 2.2477,                 2.3029,                 1.4418,                0.48985,                0.37931,                0.42814,                0.17966,                  2.054,                 2.0896,                 1.3514,              0.0019192,              0.0019192,              0.0019192
                      4,                 2.1647,                 2.1607,                 1.3944,                0.63124,                0.47878,                0.52291,                0.23594,                 1.9329,                 2.0573,                 1.2822,              0.0018812,              0.0018812,              0.0018812
                      5,                 2.1043,                 1.9686,                  1.355,                0.62916,                0.49403,                0.52456,                0.19971,                 1.9995,                 1.8718,                  1.315,              0.0018812,              0.0018812,              0.0018812
                      6,                 2.0284,                 1.8176,                 1.3325,                0.74455,                0.54721,                 0.6293,                0.27318,                 1.8784,                 1.5808,                 1.2738,              0.0018416,              0.0018416,              0.0018416
                      7,                 1.9933,                 1.6977,                 1.3205,                0.81281,                0.54406,                 0.6585,                0.29698,                 1.9731,                 1.7546,                 1.2863,               0.001802,               0.001802,               0.001802
                      8,                 1.9286,                 1.5642,                 1.2848,                0.70106,                0.63218,                0.68098,                0.30158,                  1.867,                 1.4777,                 1.2636,              0.0017624,              0.0017624,              0.0017624
                      9,                 1.8923,                 1.4997,                 1.2743,                0.74988,                0.59731,                0.64976,                0.27958,                 1.9135,                 1.7834,                 1.2752,              0.0017228,              0.0017228,              0.0017228
                     10,                 1.8794,                 1.4555,                 1.2548,                0.76688,                0.63218,                0.70818,                 0.3175,                 1.8767,                 1.5365,                  1.247,              0.0016832,              0.0016832,              0.0016832
                     11,                 1.8153,                 1.3822,                 1.2315,                0.79108,                 0.5977,                0.71117,                0.32911,                 1.8158,                 1.4003,                  1.237,              0.0016436,              0.0016436,              0.0016436
                     12,                 1.7841,                 1.2969,                 1.2225,                0.79793,                0.69595,                0.76088,                 0.3566,                 1.8718,                 1.4002,                 1.2368,               0.001604,               0.001604,               0.001604
                     13,                 1.7965,                 1.2986,                 1.2171,                0.70322,                0.66274,                 0.7229,                0.35027,                 1.8318,                  1.465,                 1.2203,              0.0015644,              0.0015644,              0.0015644
                     14,                 1.7289,                 1.2059,                 1.1918,                 0.7936,                0.64751,                0.74773,                0.35187,                 1.8047,                 1.5134,                 1.2315,              0.0015248,              0.0015248,              0.0015248
                     15,                 1.7196,                 1.1869,                 1.2004,                0.77888,                0.71529,                0.78642,                0.35735,                 1.8331,                 1.3688,                   1.24,              0.0014852,              0.0014852,              0.0014852
                     16,                 1.6995,                  1.146,                 1.1893,                0.85185,                0.65134,                0.77166,                 0.3552,                 1.8226,                 1.2239,                 1.2355,              0.0014456,              0.0014456,              0.0014456
                     17,                  1.663,                 1.1133,                 1.1715,                0.83659,                0.67816,                0.75812,                0.36141,                 1.8235,                 1.4397,                 1.2309,               0.001406,               0.001406,               0.001406
                     18,                 1.6588,                  1.104,                 1.1658,                0.73076,                0.71264,                0.76907,                0.36926,                 1.7766,                 1.2802,                 1.2122,              0.0013664,              0.0013664,              0.0013664
                     19,                 1.6423,                 1.0869,                 1.1636,                0.81099,                0.71648,                0.79051,                0.37576,                 1.8031,                 1.1792,                 1.2265,              0.0013268,              0.0013268,              0.0013268
                     20,                 1.6207,                 1.0329,                 1.1571,                0.79148,                0.74713,                0.77753,                0.36722,                 1.8336,                 1.3317,                 1.2267,              0.0012872,              0.0012872,              0.0012872
                     21,                 1.5919,                 1.0028,                 1.1455,                0.82525,                0.75862,                0.81872,                0.39475,                 1.8026,                 1.2042,                  1.231,              0.0012476,              0.0012476,              0.0012476
                     22,                 1.5672,                0.96385,                 1.1356,                0.87092,                0.70881,                0.81853,                 0.4053,                 1.7489,                 1.1348,                 1.2066,               0.001208,               0.001208,               0.001208
                     23,                 1.5241,                0.91443,                 1.1183,                0.83528,                0.69349,                0.81015,                0.39653,                 1.8628,                 1.1548,                 1.2407,              0.0011684,              0.0011684,              0.0011684
                     24,                 1.5132,                0.91763,                 1.1154,                0.79681,                0.75125,                0.81994,                 0.4067,                 1.7676,                 1.1821,                 1.2083,              0.0011288,              0.0011288,              0.0011288
                     25,                 1.5007,                0.90242,                 1.1046,                0.79708,                0.77011,                0.79546,                0.37385,                 1.7965,                 1.1603,                  1.216,              0.0010892,              0.0010892,              0.0010892
                     26,                 1.4732,                0.87277,                 1.0957,                0.82098,                0.73563,                0.80283,                0.38953,                 1.8629,                 1.3668,                 1.2444,              0.0010496,              0.0010496,              0.0010496
                     27,                 1.4515,                 0.8472,                 1.0903,                0.80875,                0.72909,                0.79534,                0.37512,                 1.8521,                 1.2718,                 1.2484,                0.00101,                0.00101,                0.00101
                     28,                 1.4284,                0.84587,                 1.0769,                0.86521,                0.71648,                0.80634,                0.39004,                 1.8176,                 1.0687,                 1.2356,              0.0009704,              0.0009704,              0.0009704
                     29,                 1.4108,                0.81956,                 1.0776,                0.84012,                0.75862,                0.82422,                0.40547,                 1.8081,                 1.0551,                 1.2286,              0.0009308,              0.0009308,              0.0009308
                     30,                 1.3816,                0.79657,                  1.065,                0.88769,                0.72414,                0.81764,                0.39645,                 1.7757,                 1.1095,                  1.229,              0.0008912,              0.0008912,              0.0008912
                     31,                 1.3518,                 0.7841,                 1.0604,                0.86634,                0.73946,                0.81528,                0.39911,                 1.8559,                 1.1124,                 1.2494,              0.0008516,              0.0008516,              0.0008516
                     32,                 1.3519,                0.78544,                 1.0544,                 0.8138,                0.76245,                0.79945,                0.39867,                 1.8423,                 1.0845,                 1.2414,               0.000812,               0.000812,               0.000812
                     33,                 1.3437,                  0.777,                 1.0488,                0.84042,                 0.7433,                0.80209,                0.38869,                 1.8452,                  1.191,                 1.2465,              0.0007724,              0.0007724,              0.0007724
                     34,                 1.3089,                0.73342,                 1.0328,                0.80017,                 0.7671,                0.80747,                0.39227,                 1.8566,                 1.1443,                 1.2562,              0.0007328,              0.0007328,              0.0007328
                     35,                 1.2812,                0.71952,                 1.0396,                0.82441,                0.75862,                0.80134,                0.39916,                  1.848,                    1.1,                 1.2555,              0.0006932,              0.0006932,              0.0006932
                     36,                 1.2616,                0.70473,                 1.0209,                0.81914,                0.73563,                0.79064,                0.39016,                  1.875,                  1.192,                 1.2542,              0.0006536,              0.0006536,              0.0006536
                     37,                 1.2622,                0.70433,                 1.0235,                0.87242,                0.70742,                0.79443,                0.38609,                 1.8801,                 1.2207,                 1.2778,               0.000614,               0.000614,               0.000614
                     38,                 1.2215,                0.68208,                 1.0159,                 0.8189,                0.77778,                0.82345,                0.40991,                  1.834,                 1.0696,                  1.258,              0.0005744,              0.0005744,              0.0005744
                     39,                 1.2001,                0.65898,                 1.0047,                0.82432,                0.75862,                0.82385,                 0.4067,                 1.8946,                  1.162,                 1.2696,              0.0005348,              0.0005348,              0.0005348
                     40,                 1.1953,                0.66111,                0.99646,                0.86253,                0.72117,                0.80507,                0.38307,                 1.9272,                 1.1394,                  1.312,              0.0004952,              0.0004952,              0.0004952
                     41,                 1.1202,                0.56782,                 1.0101,                 0.8559,                0.72414,                0.81018,                0.39144,                 1.8818,                 1.2957,                 1.2891,              0.0004556,              0.0004556,              0.0004556
                     42,                 1.0876,                0.54212,                   0.99,                0.85443,                0.71648,                0.80941,                0.39735,                 1.8403,                 1.2982,                 1.2681,               0.000416,               0.000416,               0.000416
