                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7156,                 5.7779,                 1.3799,                0.24011,                0.22605,                0.13043,                0.04887,                 2.4654,                  3.435,                 1.2357,             0.00066498,             0.00066498,             0.00066498
                      2,                 2.6391,                 2.7613,                 1.3185,                0.39344,                0.27969,                0.25279,                0.09029,                 2.5102,                  2.702,                 1.2804,              0.0013053,              0.0013053,              0.0013053
                      3,                 2.6124,                 2.7564,                  1.294,                0.32601,                0.29119,                0.20331,                0.06269,                 2.4736,                 2.6606,                 1.2116,              0.0019192,              0.0019192,              0.0019192
                      4,                 2.5074,                 2.5132,                 1.2613,                0.41945,                0.34049,                0.30032,                0.10382,                 2.2351,                 2.2504,                 1.1926,              0.0018812,              0.0018812,              0.0018812
                      5,                  2.373,                 2.2982,                 1.2186,                 0.5493,                0.42529,                0.43505,                0.17039,                 2.2909,                 2.0271,                 1.1609,              0.0018812,              0.0018812,              0.0018812
                      6,                 2.3254,                 2.1538,                 1.2085,                 0.5575,                0.38697,                0.40149,                0.15889,                 2.2728,                 2.1115,                 1.1595,              0.0018416,              0.0018416,              0.0018416
                      7,                  2.275,                 2.0224,                 1.1843,                0.61499,                 0.4636,                0.49151,                0.20181,                  2.161,                 1.7681,                 1.1393,               0.001802,               0.001802,               0.001802
                      8,                 2.1997,                 1.8866,                 1.1585,                0.62547,                0.46071,                0.51734,                0.20625,                 2.1493,                 1.7883,                 1.1374,              0.0017624,              0.0017624,              0.0017624
                      9,                 2.1468,                 1.7846,                 1.1496,                0.66919,                0.54254,                0.61248,                0.23999,                 2.0773,                 1.7354,                 1.1145,              0.0017228,              0.0017228,              0.0017228
                     10,                 2.0944,                 1.6735,                 1.1392,                0.56816,                0.52425,                0.53898,                0.22856,                  2.159,                 1.6841,                 1.1438,              0.0016832,              0.0016832,              0.0016832
                     11,                 2.0567,                 1.6614,                 1.1158,                0.62082,                0.59387,                 0.6079,                0.25332,                  2.126,                 1.4976,                 1.1202,              0.0016436,              0.0016436,              0.0016436
                     12,                 2.0479,                 1.6231,                 1.1133,                0.71858,                0.55556,                0.62187,                0.27113,                 2.1325,                 1.5268,                 1.1153,               0.001604,               0.001604,               0.001604
                     13,                 2.0401,                  1.595,                 1.1171,                0.72395,                0.55265,                0.60104,                0.24307,                 2.1163,                 1.5639,                 1.1258,              0.0015644,              0.0015644,              0.0015644
                     14,                 2.0069,                 1.5077,                 1.1151,                0.80129,                 0.5249,                0.62355,                0.27152,                 2.0596,                 1.4768,                 1.0871,              0.0015248,              0.0015248,              0.0015248
                     15,                 1.9699,                 1.4746,                 1.0858,                0.85059,                0.51724,                0.63687,                0.27065,                 2.0992,                 1.4555,                 1.1132,              0.0014852,              0.0014852,              0.0014852
                     16,                 1.9139,                 1.4097,                 1.0782,                 0.7728,                0.57471,                0.63491,                 0.2731,                 2.0694,                 1.4434,                 1.1215,              0.0014456,              0.0014456,              0.0014456
                     17,                 1.9364,                 1.3955,                 1.0828,                0.73006,                0.62835,                0.66638,                0.29515,                 2.0408,                 1.3837,                 1.0997,               0.001406,               0.001406,               0.001406
                     18,                 1.9033,                 1.3389,                 1.0747,                0.84571,                0.52505,                0.66144,                0.28616,                 2.0722,                 1.4094,                 1.1051,              0.0013664,              0.0013664,              0.0013664
                     19,                 1.8504,                 1.3145,                 1.0615,                0.74355,                0.59387,                0.68643,                0.30302,                 2.0713,                 1.3541,                 1.1032,              0.0013268,              0.0013268,              0.0013268
                     20,                  1.858,                 1.2676,                 1.0562,                 0.8275,                0.61686,                0.72267,                0.31078,                  2.017,                  1.273,                 1.0998,              0.0012872,              0.0012872,              0.0012872
                     21,                  1.812,                 1.2224,                 1.0523,                0.78511,                0.61594,                0.69523,                 0.3299,                 1.9952,                 1.3459,                 1.0934,              0.0012476,              0.0012476,              0.0012476
                     22,                 1.8225,                  1.223,                 1.0602,                0.78878,                0.58238,                0.68832,                 0.3112,                 2.0227,                 1.3343,                  1.085,               0.001208,               0.001208,               0.001208
                     23,                 1.7799,                 1.1563,                 1.0402,                0.78266,                0.61303,                0.69483,                0.30653,                 1.9609,                 1.2637,                 1.0719,              0.0011684,              0.0011684,              0.0011684
                     24,                 1.7389,                 1.1515,                 1.0352,                0.79477,                0.64751,                0.71745,                0.32496,                 1.9656,                 1.2626,                 1.0868,              0.0011288,              0.0011288,              0.0011288
                     25,                 1.7367,                 1.1138,                 1.0336,                0.73157,                0.61608,                0.69077,                0.31554,                 1.9966,                 1.2473,                 1.0921,              0.0010892,              0.0010892,              0.0010892
                     26,                 1.6949,                 1.1034,                 1.0114,                0.75333,                0.64368,                0.71511,                0.31326,                 2.0236,                 1.2278,                 1.0818,              0.0010496,              0.0010496,              0.0010496
                     27,                 1.6965,                 1.0935,                 1.0227,                0.83675,                0.63602,                0.73372,                0.33219,                 2.0228,                 1.2386,                 1.0815,                0.00101,                0.00101,                0.00101
                     28,                 1.6638,                 1.0758,                  1.001,                 0.8194,                0.66284,                 0.7421,                0.33126,                 1.9407,                 1.2537,                 1.0767,              0.0009704,              0.0009704,              0.0009704
                     29,                 1.6375,                 1.0244,                 1.0101,                0.77075,                0.68966,                0.71991,                0.32838,                 1.9721,                 1.2732,                  1.077,              0.0009308,              0.0009308,              0.0009308
                     30,                 1.6485,                 1.0346,                 1.0014,                0.79767,                0.62452,                0.72332,                0.32592,                  1.965,                 1.2445,                 1.0659,              0.0008912,              0.0008912,              0.0008912
                     31,                 1.6216,                  1.005,                0.99209,                0.75977,                0.68966,                0.74605,                0.34137,                 1.9624,                 1.2143,                 1.0665,              0.0008516,              0.0008516,              0.0008516
                     32,                 1.5846,                0.96129,                0.97864,                0.75481,                0.70771,                0.74482,                0.33996,                 1.9552,                 1.2487,                 1.0646,               0.000812,               0.000812,               0.000812
                     33,                 1.5646,                0.94498,                0.98119,                0.81497,                0.62438,                0.74252,                0.33736,                  1.959,                 1.2571,                 1.0644,              0.0007724,              0.0007724,              0.0007724
                     34,                 1.5872,                 0.9509,                0.99055,                0.82808,                0.65134,                0.73415,                  0.343,                 1.9104,                 1.2138,                 1.0438,              0.0007328,              0.0007328,              0.0007328
                     35,                 1.5537,                0.93487,                0.97506,                0.84514,                0.62835,                0.71356,                0.32523,                 1.9704,                 1.2553,                 1.0595,              0.0006932,              0.0006932,              0.0006932
                     36,                 1.5121,                0.91033,                0.96493,                0.86054,                0.63985,                0.74501,                0.34526,                 1.9512,                 1.1759,                 1.0618,              0.0006536,              0.0006536,              0.0006536
                     37,                 1.5008,                 0.8907,                0.95876,                 0.8228,                0.63602,                0.73027,                 0.3318,                 1.9479,                 1.2905,                 1.0646,               0.000614,               0.000614,               0.000614
                     38,                 1.4862,                0.86403,                0.95519,                 0.8406,                0.64654,                0.73795,                0.35317,                 1.8712,                 1.2632,                 1.0481,              0.0005744,              0.0005744,              0.0005744
                     39,                 1.5029,                0.87297,                0.96277,                0.87381,                0.63602,                0.73041,                0.33193,                 1.9439,                 1.2071,                 1.0653,              0.0005348,              0.0005348,              0.0005348
                     40,                 1.4393,                0.81978,                0.95207,                0.83865,                 0.6572,                0.74693,                0.35273,                 1.9098,                 1.1731,                 1.0522,              0.0004952,              0.0004952,              0.0004952
                     41,                 1.3646,                0.73946,                0.95942,                0.84692,                0.63218,                0.73001,                0.33552,                 1.9473,                 1.2291,                 1.0627,              0.0004556,              0.0004556,              0.0004556
                     42,                 1.3296,                0.69726,                 0.9481,                0.83937,                  0.659,                0.75478,                0.35874,                 1.9503,                 1.1474,                 1.0667,               0.000416,               0.000416,               0.000416
                     43,                 1.3024,                0.67534,                0.93889,                0.85704,                0.62018,                0.74008,                0.34035,                 1.9501,                  1.252,                 1.0626,              0.0003764,              0.0003764,              0.0003764
                     44,                 1.2716,                 0.6667,                0.93199,                0.81736,                0.63602,                0.73385,                0.33712,                 1.9478,                  1.253,                 1.0605,              0.0003368,              0.0003368,              0.0003368
                     45,                 1.2755,                0.65787,                0.93694,                0.80076,                0.62835,                0.73424,                0.35122,                  1.894,                 1.2377,                 1.0486,              0.0002972,              0.0002972,              0.0002972
                     46,                 1.2413,                 0.6432,                0.92418,                0.87356,                 0.6092,                0.73092,                0.34891,                 1.9206,                 1.2254,                 1.0581,              0.0002576,              0.0002576,              0.0002576
                     47,                 1.2122,                0.62217,                 0.9224,                0.88239,                 0.6092,                0.72966,                0.34788,                  1.906,                  1.233,                 1.0527,               0.000218,               0.000218,               0.000218
                     48,                 1.1943,                0.60757,                0.91712,                0.83941,                0.65134,                 0.7337,                0.34251,                 1.9572,                 1.2814,                 1.0696,              0.0001784,              0.0001784,              0.0001784
                     49,                 1.1824,                 0.6111,                0.90762,                0.88066,                0.63985,                0.75167,                0.34463,                  1.957,                 1.2703,                 1.0629,              0.0001388,              0.0001388,              0.0001388
                     50,                 1.1623,                 0.5981,                0.90936,                0.87123,                0.63602,                0.74367,                0.34944,                 1.9424,                 1.2689,                 1.0644,               9.92e-05,               9.92e-05,               9.92e-05
