                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7657,                  1.207,                 1.4578,                 0.8363,                0.75127,                0.82386,                 0.4856,                 1.8605,                 1.8379,                 1.8666,             0.00066486,             0.00066486,             0.00066486
                      2,                 1.7486,                 1.0839,                 1.4785,                0.82986,                0.73816,                0.83111,                0.50049,                  1.844,                 1.5577,                 1.7719,               0.001315,               0.001315,               0.001315
                      3,                 1.7447,                 1.0702,                 1.4923,                0.85388,                0.72148,                0.82088,                0.49382,                 2.0053,                 1.5872,                 1.9083,              0.0019487,              0.0019487,              0.0019487
                      4,                 1.7002,                 1.0039,                 1.4652,                0.83287,                0.75776,                0.84757,                0.51433,                  1.766,                 1.5654,                 1.6985,              0.0019258,              0.0019258,              0.0019258
                      5,                 1.6655,                0.95564,                  1.446,                0.84107,                0.75959,                0.85429,                0.52323,                 1.8347,                 1.5409,                 1.7685,              0.0019258,              0.0019258,              0.0019258
                      6,                 1.6316,                 0.9277,                 1.4303,                0.83669,                0.75634,                0.84473,                0.49297,                 1.9408,                 1.5832,                 1.8742,               0.001901,               0.001901,               0.001901
                      7,                  1.602,                0.89848,                 1.4172,                 0.8584,                0.77697,                0.85894,                0.53303,                 1.7851,                 1.5026,                 1.7381,              0.0018763,              0.0018763,              0.0018763
                      8,                  1.592,                0.87176,                 1.4052,                0.85113,                0.77516,                0.86699,                0.53869,                 1.7818,                 1.3156,                 1.7352,              0.0018515,              0.0018515,              0.0018515
                      9,                 1.5698,                 0.8484,                 1.3908,                0.84001,                0.82187,                 0.8863,                0.55726,                 1.6669,                 1.2441,                  1.667,              0.0018267,              0.0018267,              0.0018267
                     10,                 1.5602,                0.84348,                 1.3873,                0.84417,                0.81137,                0.87978,                0.56096,                 1.6827,                 1.3643,                 1.6812,               0.001802,               0.001802,               0.001802
                     11,                 1.5274,                  0.821,                 1.3625,                0.86178,                0.79544,                0.87787,                0.54447,                 1.7102,                 1.3159,                 1.6991,              0.0017772,              0.0017772,              0.0017772
                     12,                 1.5214,                0.81052,                 1.3555,                0.85896,                0.80558,                0.88793,                0.56415,                 1.6396,                 1.1706,                 1.6172,              0.0017525,              0.0017525,              0.0017525
                     13,                 1.4896,                0.79321,                 1.3437,                0.86637,                0.82114,                0.89783,                0.57731,                 1.6582,                 1.1098,                 1.6654,              0.0017278,              0.0017278,              0.0017278
                     14,                  1.486,                0.78732,                 1.3358,                0.85941,                 0.8378,                0.90342,                0.58102,                 1.6079,                 1.0519,                 1.5731,               0.001703,               0.001703,               0.001703
                     15,                 1.4758,                0.77753,                  1.335,                0.86548,                0.82476,                0.90353,                0.57215,                  1.635,                 1.0651,                 1.6213,              0.0016783,              0.0016783,              0.0016783
                     16,                 1.4769,                0.77273,                 1.3371,                0.87738,                0.82259,                0.90853,                0.57706,                 1.6151,                 1.1273,                 1.6204,              0.0016535,              0.0016535,              0.0016535
                     17,                 1.4549,                0.75819,                 1.3254,                0.86146,                0.82621,                0.89931,                 0.5819,                 1.6381,                 1.1236,                 1.6318,              0.0016287,              0.0016287,              0.0016287
                     18,                 1.4461,                 0.7564,                 1.3187,                0.86241,                0.82657,                0.89823,                0.58352,                 1.6215,                  1.094,                 1.6194,               0.001604,               0.001604,               0.001604
                     19,                 1.4312,                0.75323,                 1.3122,                 0.8558,                0.82725,                0.89737,                0.58049,                 1.6338,                 1.1364,                 1.6547,              0.0015793,              0.0015793,              0.0015793
                     20,                 1.4229,                 0.7362,                 1.3038,                0.86829,                0.82581,                0.90266,                0.58276,                 1.6178,                 1.0616,                 1.6242,              0.0015545,              0.0015545,              0.0015545
                     21,                 1.4082,                0.72665,                  1.302,                0.85618,                0.82763,                0.90289,                0.58487,                  1.633,                 1.0239,                 1.6279,              0.0015298,              0.0015298,              0.0015298
                     22,                 1.3863,                0.71909,                 1.2873,                0.86527,                0.83942,                0.90524,                0.58203,                 1.5788,                 1.0362,                 1.5768,               0.001505,               0.001505,               0.001505
                     23,                 1.3837,                0.71225,                 1.2877,                0.87801,                 0.8156,                0.89471,                0.58337,                  1.666,                 1.2641,                 1.6619,              0.0014803,              0.0014803,              0.0014803
                     24,                  1.363,                0.70016,                 1.2748,                0.88312,                0.81608,                0.90017,                0.58396,                 1.6369,                 1.1906,                 1.6361,              0.0014555,              0.0014555,              0.0014555
                     25,                 1.3465,                0.68706,                 1.2668,                0.87371,                0.82657,                0.90782,                0.59105,                 1.6229,                 1.0198,                 1.6116,              0.0014307,              0.0014307,              0.0014307
                     26,                 1.3474,                0.68657,                 1.2661,                0.88331,                0.82114,                0.90805,                0.59292,                 1.6235,                 1.0527,                 1.6205,               0.001406,               0.001406,               0.001406
                     27,                 1.3512,                0.68935,                 1.2689,                0.84439,                0.85409,                0.90931,                0.59749,                 1.6512,                 1.0372,                 1.6728,              0.0013813,              0.0013813,              0.0013813
                     28,                 1.3363,                0.68264,                 1.2603,                0.87513,                0.81959,                0.90327,                0.58989,                 1.6303,                 1.0284,                 1.6322,              0.0013565,              0.0013565,              0.0013565
                     29,                 1.3294,                0.67499,                 1.2565,                0.86453,                 0.8526,                0.91202,                0.59924,                 1.6122,                 1.0337,                 1.6038,              0.0013318,              0.0013318,              0.0013318
                     30,                  1.318,                0.67184,                 1.2526,                0.88232,                0.82795,                0.90986,                0.59954,                 1.6177,                 1.0272,                 1.6266,               0.001307,               0.001307,               0.001307
                     31,                 1.3093,                0.66412,                 1.2453,                0.85528,                0.84093,                0.90572,                0.58942,                 1.6405,                 1.0421,                 1.6267,              0.0012822,              0.0012822,              0.0012822
                     32,                  1.305,                0.65598,                 1.2407,                0.88073,                0.82875,                0.91022,                0.59751,                 1.6128,                 1.0089,                  1.634,              0.0012575,              0.0012575,              0.0012575
                     33,                 1.2972,                0.64876,                 1.2406,                 0.8765,                0.83599,                0.91076,                0.59675,                 1.6137,                 1.0097,                 1.6197,              0.0012328,              0.0012328,              0.0012328
                     34,                 1.2939,                0.64851,                 1.2353,                0.87686,                0.84287,                0.91175,                0.59872,                 1.5989,                 1.0173,                 1.6375,               0.001208,               0.001208,               0.001208
                     35,                 1.2849,                0.64536,                 1.2337,                0.89111,                0.83056,                0.91415,                0.59818,                 1.5984,                0.97718,                 1.6039,              0.0011833,              0.0011833,              0.0011833
                     36,                 1.2698,                0.64154,                 1.2255,                0.87663,                0.83563,                0.91277,                0.59838,                 1.6087,                  1.004,                 1.6427,              0.0011585,              0.0011585,              0.0011585
